Data,Pasageri,lnpas,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11
Jan-05,240187,12.38917307,1,0,0,0,0,0,0,0,0,0,0
Feb-05,212213,12.26534577,0,1,0,0,0,0,0,0,0,0,0
Mar-05,249566,12.42747869,0,0,1,0,0,0,0,0,0,0,0
Apr-05,274681,12.5233657,0,0,0,1,0,0,0,0,0,0,0
May-05,312331,12.6518188,0,0,0,0,1,0,0,0,0,0,0
Jun-05,337321,12.72879028,0,0,0,0,0,1,0,0,0,0,0
Jul-05,372623,12.82832246,0,0,0,0,0,0,1,0,0,0,0
Aug-05,392982,12.88151909,0,0,0,0,0,0,0,1,0,0,0
Sep-05,367285,12.81389339,0,0,0,0,0,0,0,0,1,0,0
Oct-05,318375,12.67098521,0,0,0,0,0,0,0,0,0,1,0
Nov-05,275369,12.5258673,0,0,0,0,0,0,0,0,0,0,1
Dec-05,280047,12.54271273,0,0,0,0,0,0,0,0,0,0,0
Jan-06,285747,12.56286208,1,0,0,0,0,0,0,0,0,0,0
Feb-06,244894,12.40858074,0,1,0,0,0,0,0,0,0,0,0
Mar-06,376888,12.83970334,0,0,1,0,0,0,0,0,0,0,0
Apr-06,467429,13.05500274,0,0,0,1,0,0,0,0,0,0,0
May-06,368241,12.81649289,0,0,0,0,1,0,0,0,0,0,0
Jun-06,391378,12.87742912,0,0,0,0,0,1,0,0,0,0,0
Jul-06,587714,13.28399571,0,0,0,0,0,0,1,0,0,0,0
Aug-06,444149,13.00391537,0,0,0,0,0,0,0,1,0,0,0
Sep-06,429946,12.9714149,0,0,0,0,0,0,0,0,1,0,0
Oct-06,521033,13.16356866,0,0,0,0,0,0,0,0,0,1,0
Nov-06,422214,12.95326757,0,0,0,0,0,0,0,0,0,0,1
Dec-06,396527,12.89049941,0,0,0,0,0,0,0,0,0,0,0
Jan-07,483813,13.08945375,1,0,0,0,0,0,0,0,0,0,0
Feb-07,421525,12.95163437,0,1,0,0,0,0,0,0,0,0,0
Mar-07,405394,12.91261471,0,0,1,0,0,0,0,0,0,0,0
Apr-07,544622,13.20784726,0,0,0,1,0,0,0,0,0,0,0
May-07,533404,13.18703439,0,0,0,0,1,0,0,0,0,0,0
Jun-07,641110,13.37095633,0,0,0,0,0,1,0,0,0,0,0
Jul-07,739874,13.51423518,0,0,0,0,0,0,1,0,0,0,0
Aug-07,905540,13.71628673,0,0,0,0,0,0,0,1,0,0,0
Sep-07,594745,13.29588802,0,0,0,0,0,0,0,0,1,0,0
Oct-07,510178,13.14251496,0,0,0,0,0,0,0,0,0,1,0
Nov-07,514692,13.15132394,0,0,0,0,0,0,0,0,0,0,1
Dec-07,693480,13.44947768,0,0,0,0,0,0,0,0,0,0,0
Jan-08,675783,13.4236273,1,0,0,0,0,0,0,0,0,0,0
Feb-08,425058,12.95998091,0,1,0,0,0,0,0,0,0,0,0
Mar-08,453430,13.02459618,0,0,1,0,0,0,0,0,0,0,0
Apr-08,635236,13.36175186,0,0,0,1,0,0,0,0,0,0,0
May-08,714225,13.47895332,0,0,0,0,1,0,0,0,0,0,0
Jun-08,766161,13.54914761,0,0,0,0,0,1,0,0,0,0,0
Jul-08,838295,13.63912535,0,0,0,0,0,0,1,0,0,0,0
Aug-08,889156,13.69802798,0,0,0,0,0,0,0,1,0,0,0
Sep-08,849591,13.65251034,0,0,0,0,0,0,0,0,1,0,0
Oct-08,678497,13.42763534,0,0,0,0,0,0,0,0,0,1,0
Nov-08,516803,13.15541704,0,0,0,0,0,0,0,0,0,0,1
Dec-08,618946,13.33577331,0,0,0,0,0,0,0,0,0,0,0
Jan-09,510147,13.1424542,1,0,0,0,0,0,0,0,0,0,0
Feb-09,471106,13.0628384,0,1,0,0,0,0,0,0,0,0,0
Mar-09,576587,13.26488152,0,0,1,0,0,0,0,0,0,0,0
Apr-09,644772,13.37665204,0,0,0,1,0,0,0,0,0,0,0
May-09,644640,13.3764473,0,0,0,0,1,0,0,0,0,0,0
Jun-09,742160,13.51732013,0,0,0,0,0,1,0,0,0,0,0
Jul-09,849120,13.6519558,0,0,0,0,0,0,1,0,0,0,0
Aug-09,891977,13.70119563,0,0,0,0,0,0,0,1,0,0,0
Sep-09,810626,13.60556207,0,0,0,0,0,0,0,0,1,0,0
Oct-09,672502,13.41876036,0,0,0,0,0,0,0,0,0,1,0
Nov-09,585814,13.28075761,0,0,0,0,0,0,0,0,0,0,1
Dec-09,627258,13.34911322,0,0,0,0,0,0,0,0,0,0,0
Jan-10,594827,13.29602589,1,0,0,0,0,0,0,0,0,0,0
Feb-10,531212,13.18291647,0,1,0,0,0,0,0,0,0,0,0
Mar-10,661140,13.4017209,0,0,1,0,0,0,0,0,0,0,0
Apr-10,656097,13.39406392,0,0,0,1,0,0,0,0,0,0,0
May-10,739986,13.51438655,0,0,0,0,1,0,0,0,0,0,0
Jun-10,830529,13.62981813,0,0,0,0,0,1,0,0,0,0,0
Jul-10,935421,13.74875197,0,0,0,0,0,0,1,0,0,0,0
